섹션ID,섹션,질문,질문 해설,대화자(우선순 정렬),답변,도메인_의존성,메모
2,ML/DM 문제 매핑,문제 유형과 예측 단위는?,분류/회귀/이상탐지/군집/추천/생성 중 무엇인지와 예측 단위를 정의합니다.,DS/데이터 사이언티스트 ; SME/도메인 전문가,"이진 분류(뇌졸중 의심/정상), 예측 단위=환자 스터디(CT 시리즈).",도메인-독립,
2,ML/DM 문제 매핑,타깃/레이블 정의·지연은?,예측 ‘정답’의 정의·생성 방식·지연(라벨 딜레이)을 구체화합니다.,SME/도메인 전문가 ; 라벨링Ops ; DS/데이터 사이언티스트,"전문의 확정 판독(또는 최종 진단) 사용, 확정까지 평균 24–72시간 지연.",도메인-독립,
2,ML/DM 문제 매핑,오류 비용 매트릭스와 임상 근거는?,FN/FP의 실질 비용·리스크를 수치로 제시해 임계/손실 설계를 돕습니다.,SME/도메인 전문가 ; PO/비즈니스 오너 ; DS/데이터 사이언티스트,FN 비용≫FP. FN은 치료 지연·예후 악화로 고비용. FP는 추가 판독 부담 증가 정도.,도메인-독립,
2,ML/DM 문제 매핑,목적함수/손실은?,훈련 시 최적화할 목표(가중 손실·비용민감·다목적)를 결정합니다.,DS/데이터 사이언티스트 ; SME/도메인 전문가,"민감도 가중 이진 크로스엔트로피 + 클래스 가중치, 임계 최적화는 FNR 최소화 우선.",도메인-독립,
2,ML/DM 문제 매핑,학습 패러다임 선택 근거는?,지도/준지도/비지도/자기지도/강화 중 타당한 방식을 정합니다.,DS/데이터 사이언티스트 ; SME/도메인 전문가,"지도학습(풍부한 레이블 확보), 라벨 부족 슬라이스는 준지도(Consistent regularization) 검토.",도메인-독립,
2,ML/DM 문제 매핑,베이스라인 및 Null 모델은?,단순 규칙/모델로 기준 성능을 만들고 개선폭을 측정합니다.,DS/데이터 사이언티스트 ; SME/도메인 전문가,"규칙 기반 triage, 로지스틱+기초 특성, 무작위/빈도 모델 대비 개선폭 측정.",도메인-독립,
2,ML/DM 문제 매핑,해석성 요구와 제공 방식은?,대상자에 맞춘 설명 수준과 방식(시각화·특성 중요도)을 정합니다.,DS/데이터 사이언티스트 ; SME/도메인 전문가 ; MLE/ML 엔지니어,"Grad-CAM 히트맵, 예측 근거 영역 표시, 신뢰도 점수 제공.",도메인-독립,
2,ML/DM 문제 매핑,실시간/배치 및 지연/리소스 제약은?,"온라인/배치 모드, 지연·처리량·자원 제약을 수치화합니다.",MLE/ML 엔지니어 ; SRE/플랫폼/DevOps ; PM/프로젝트 매니저,"실시간 추론 필요(응급). 단일 시리즈 300ms 내, GPU T4 1장 기준 처리량 8 시리즈/분.",도메인-독립,
2,ML/DM 문제 매핑,보안·접근 모델과 비밀 관리 계획은?,접근 통제·비밀관리·감사 로그 등 보안을 설계합니다.,Infosec/보안/IT ; DE/데이터 엔지니어 ; PM/프로젝트 매니저,"온프레 클러스터, 서비스 계정 RBAC, KMS로 키 관리, 감사로그 저장 3년.",도메인-독립,
2,ML/DM 문제 매핑,데이터 누수 방지 전략은?,시간/개체/세션 중복 등 정보 누수를 막는 규칙을 정의합니다.,DS/데이터 사이언티스트 ; DE/데이터 엔지니어,"환자 단위 그룹 분할, 시간 순서 유지, 동일 스터디/슬라이스 중복 제거.",도메인-독립,
3,성공 기준 / KPI,오프라인 지표와 목표/신뢰구간은?,테스트 세트 기준 성능 목표와 추정법·신뢰구간을 명확히 합니다.,DS/데이터 사이언티스트 ; SME/도메인 전문가 ; PM/프로젝트 매니저,"AUC≥0.95, Sensitivity≥0.90(95% CI ±0.02), Specificity≥0.85.",도메인-독립,
3,성공 기준 / KPI,온라인/사업 KPI와 측정 창/주기는?,현장 효과 지표와 측정 주기·창(window)을 정합니다.,PO/비즈니스 오너 ; DS/데이터 사이언티스트 ; SME/도메인 전문가,"판독 대기시간 중앙값 38→23분(월 단위), 치료 지연 60분 초과율 34%→≤24%(분기 단위).",도메인-독립,
3,성공 기준 / KPI,가드레일 지표는?,안전·공정성·품질 상/하한(예: 집단별 편차≤5%)을 정의합니다.,Responsible AI/윤리 ; DS/데이터 사이언티스트 ; PM/프로젝트 매니저,"집단별(연령/성별/장비) 민감도 격차 ≤5%p, 오탐 경보 비율 ≤15%.",도메인-독립,
3,성공 기준 / KPI,검정력/표본수/MDE 및 실험 설계는?,필요 표본수/검정력/MDE와 A/B·전후 비교 등 실험 설계를 확정합니다.,DS/데이터 사이언티스트 ; PM/프로젝트 매니저,"전후 비교 + 단계적 롤아웃. MDE 8%p, 검정력 0.8 기준 표본수 2,000 스터디/팔.",도메인-독립,
3,성공 기준 / KPI,불확실성/캘리브레이션 보고는?,"예측 신뢰도·보정 상태(Brier, Reliability)를 보고합니다.",DS/데이터 사이언티스트,"Brier score, Reliability diagram, 예측 신뢰도 구간 노출.",도메인-독립,
3,성공 기준 / KPI,SLO/SLA 목표치는?,"운영 품질 목표(지연, 가용성, 오류율)를 수치로 합의합니다.",SRE/플랫폼/DevOps ; MLE/ML 엔지니어 ; PM/프로젝트 매니저,"지연 P95≤300ms, 가용성 99.5%/월, 에러율 P99≤0.5%.",도메인-독립,
3,성공 기준 / KPI,Go·No-Go 및 롤백 트리거는?,이상 시 롤백 조건과 승인 흐름을 문서화합니다.,PO/비즈니스 오너 ; MLE/ML 엔지니어 ; DS/데이터 사이언티스트 ; PM/프로젝트 매니저,가드레일 위반 2주 지속 또는 민감도<0.88 시 자동 롤백.,도메인-독립,
3,성공 기준 / KPI,트레이드오프 관리 원칙은?,민감도 vs 특이도 등 충돌 지표의 균형 원칙을 합의합니다.,DS/데이터 사이언티스트 ; PO/비즈니스 오너 ; SME/도메인 전문가,"민감도 우선, 특이도는 가드레일 내 유지. 안전 지표 우선순위 > 효율 지표.",도메인-독립,
4,데이터 요구사항,소스/스키마·조인 키·메타데이터는?,데이터 출처·테이블·조인 키·메타데이터를 목록화합니다.,DE/데이터 엔지니어 ; 데이터 거버넌스 ; DS/데이터 사이언티스트,"PACS(SeriesUID, StudyUID), EHR(patient_id, icd10, timestamps), 장비 메타(벤더/모델).",혼합,"도메인별 데이터 시스템 차이(PACS, 거래원장 등)"
4,데이터 요구사항,기간/커버리지/샘플 크기와 분포는?,분석 기간·표본 크기·주요 분포(라벨 비율 등)를 추정·명시합니다.,DE/데이터 엔지니어 ; DS/데이터 사이언티스트 ; 데이터 거버넌스,"최근 3년, 성인 응급 CT 전체, n≈45k 스터디, 양성비≈6%.",혼합,도메인·현장 구성 비율 영향을 크게 받음
4,데이터 요구사항,신선도/업데이트 주기·지연 허용은?,갱신 주기와 허용 지연을 수립합니다.,DE/데이터 엔지니어 ; PM/프로젝트 매니저,"실시간 스트리밍, 메타는 1시간 지연 허용.",도메인-독립,
4,데이터 요구사항,라벨링 프로토콜과 품질 보증은?,라벨 기준·다중 판독·컨센서스 등 품질 보증 절차를 정의합니다.,라벨링Ops ; SME/도메인 전문가 ; DS/데이터 사이언티스트,"2인 판독+불일치 컨센서스, 주기적 블라인드 재평가 5%.",도메인-독립,
4,데이터 요구사항,민감정보/PII 및 가명·익명화 전략은?,민감정보 최소화·가명/익명화·재식별 키 분리를 설계합니다.,법무/컴플라이언스 ; Infosec/보안/IT ; DE/데이터 엔지니어,"DICOM 태그 PII 제거, 내부 ID로 매핑, 재식별 키는 KMS에 분리 보관.",도메인-독립,
4,데이터 요구사항,권한/감사로그/처리 계약(DPA)은 준비됐는가?,접근권한·감사로그·처리 계약 등 거버넌스 요건을 확인합니다.,법무/컴플라이언스 ; Infosec/보안/IT ; PM/프로젝트 매니저,"병원-벤더 DPA 체결, 서비스 계정 역할 최소화, 모든 접근 로그 3년 보관.",도메인-독립,
4,데이터 요구사항,품질 목표와 자동 검증은?,결측/중복/형식 오류 허용 범위와 자동 검사(파이프라인 CI)를 설정합니다.,DE/데이터 엔지니어 ; 데이터 거버넌스 ; DS/데이터 사이언티스트 ; QA/테스트,"결측<1%, 중복<0.5%, 형식 오류<0.2%, Great Expectations로 CI 검증.",도메인-독립,
4,데이터 요구사항,계보/버전관리·피처 스토어 계획은?,원천→정제→특징 이력/버전과 피처 스토어 정책을 정의합니다.,DE/데이터 엔지니어 ; 데이터 거버넌스 ; MLE/ML 엔지니어,"Raw→Bronze→Silver→Gold 계층, Delta Lake 버전, 피처 스토어 등록/승인.",도메인-독립,
4,데이터 요구사항,대표성/편향 이슈와 커버리지 계획은?,분석 기간·표본 크기·주요 분포(라벨 비율 등)를 추정·명시합니다.,DE/데이터 엔지니어 ; DS/데이터 사이언티스트 ; 데이터 거버넌스,"장비/병원별 샘플 균형화, 소수 집단 오버샘플, 외부 검증 세트 확보.",혼합,도메인·현장 구성 비율 영향을 크게 받음
4,데이터 요구사항,샘플링·가중·증강 전략은?,분석 기간·표본 크기·주요 분포(라벨 비율 등)를 추정·명시합니다.,DE/데이터 엔지니어 ; DS/데이터 사이언티스트 ; 데이터 거버넌스,"클래스 가중, MixUp/RandomCrop/Noise 증강, Hard example mining.",도메인-독립,
5,데이터 준비 상태,결측/중복/이상치 현황과 대응은?,데이터 오류 현황과 정제(제거/대치/수정) 계획을 제시합니다.,DE/데이터 엔지니어 ; DS/데이터 사이언티스트,"결측 0.8%(메타), DICOM 손상 0.3% 제거, 중복 0.2% 정리.",도메인-독립,
5,데이터 준비 상태,클래스 불균형과 완화 전략은?,라벨 불균형을 가중·오버/언더샘플·Focal Loss 등으로 보정합니다.,DS/데이터 사이언티스트,양성 6% → 가중 손실+오버샘플+Focal Loss 병행.,도메인-독립,
5,데이터 준비 상태,라벨 품질 평가와 개선은?,일치도(κ) 등 라벨 신뢰도 평가와 개선 절차를 설계합니다.,SME/도메인 전문가 ; 라벨링Ops ; DS/데이터 사이언티스트,"κ=0.82(매우 높음), 분기별 컨센서스 리뷰 5% 샘플.",도메인-독립,
5,데이터 준비 상태,데이터 분할(시간/환자 단위) 전략은?,훈련/검증/테스트 분할 기준과 누수 방지 원칙을 문서화합니다.,DS/데이터 사이언티스트 ; 데이터 거버넌스,"환자 단위 그룹 K-fold(5), 테스트는 최신 분기 고정.",혼합,개체 단위가 도메인별로 상이(환자/고객/설비 등)
5,데이터 준비 상태,누수 방지 규칙은?,시간/개체/세션 중복 등 정보 누수 방지 규칙을 명시합니다.,DS/데이터 사이언티스트 ; DE/데이터 엔지니어,"동일 환자/스터디/슬라이스 중복 제거, 시간순 보장.",도메인-독립,
5,데이터 준비 상태,전처리·정규화·익명화 재현성은?,파이프라인을 코드/컨테이너/시드로 재현 가능하게 유지합니다.,DE/데이터 엔지니어 ; MLE/ML 엔지니어,"Docker 이미지+DBT 파이프라인, seed 고정.",도메인-독립,
5,데이터 준비 상태,성능 베이스라인과 EDA 요약은?,기본 모델 성능과 탐색 결과로 현재 수준을 확정합니다.,DS/데이터 사이언티스트,"로지스틱 AUC 0.81, 간단 CNN AUC 0.90, 클래스 분포/장비별 편차 확인.",도메인-독립,
5,데이터 준비 상태,HW/스토리지/네트워크 병목과 해결은?,I/O·연산 병목을 파악하고 캐시/병렬화/압축 최적화로 해결합니다.,SRE/플랫폼/DevOps ; DE/데이터 엔지니어 ; MLE/ML 엔지니어,"I/O 병목 → 병렬 prefetch, 압축 코덱 최적화, NVMe 캐시.",도메인-독립,
5,데이터 준비 상태,백업/DR/스냅샷 정책은?,백업·복구 목표(RPO/RTO)와 스냅샷 정책을 정의합니다.,SRE/플랫폼/DevOps ; Infosec/보안/IT,"일일 스냅샷, 주간 오프사이트 백업, 복구 RTO 4h/RPO 1h.",도메인-독립,
5,데이터 준비 상태,모의 배포용 샘플 세트 준비는?,익명화된 샘플 데이터로 운영 유사 환경을 준비합니다.,DE/데이터 엔지니어 ; PM/프로젝트 매니저,"익명·축약 데이터셋 5k 스터디, 개발/테스트 공유.",도메인-독립,
6,리스크 및 윤리 ,DPIA/PIA/AIA 수행 계획과 기록은?,프라이버시/알고리즘 영향평가 수행 및 리스크·완화책 기록합니다.,Responsible AI/윤리 ; 법무/컴플라이언스 ; PM/프로젝트 매니저,"착수 D+10일에 초안, 파일럿 전 최종본 제출·승인. 리스크/완화책 표 포함.",도메인-독립,
6,리스크 및 윤리 ,공정성: 집단별 성능/임계 보고와 대응은?,민감 속성별 성능 격차 모니터링 및 임계 초과 시 대응을 명시합니다.,Responsible AI/윤리 ; DS/데이터 사이언티스트,"분기별 집단별 민감도 리포트, 격차>5%p 시 임계 조정·데이터 보강.",도메인-독립,
6,리스크 및 윤리 ,설명가능성 제공 범위와 방법은?,대상자 맞춤 설명(시각화/요약) 제공 범위·한계를 정합니다.,DS/데이터 사이언티스트 ; SME/도메인 전문가 ; MLE/ML 엔지니어,"의사 화면에 Grad-CAM+상위 슬라이스, 환자에게는 요약 고지.",도메인-독립,
6,리스크 및 윤리 ,HITL 개입/에스컬/오버라이드 정책은?,사람 개입/승인/무시 조건과 권한·로그를 정의합니다.,SME/도메인 전문가 ; PM/프로젝트 매니저 ; DS/데이터 사이언티스트,"불확실도>τ 또는 가드레일 근접 시 자동 에스컬레이션, 최종 결정은 의사.",도메인-독립,
6,리스크 및 윤리 ,오남용/악용 시나리오와 완화책은?,의도치 않은 사용/권한 남용 예방·탐지·대응 통제를 설계합니다.,Responsible AI/윤리 ; Infosec/보안/IT ; PO/비즈니스 오너,"자동 승인 금지, 경보 남용 모니터링, 접근권한 최소화.",도메인-독립,
6,리스크 및 윤리 ,보안: 모델/데이터 유출 및 공급망 리스크 대응은?,"모델/데이터 유출, 종속성 취약점 등 보안 리스크·대응 계획을 명시합니다.",Infosec/보안/IT ; SRE/플랫폼/DevOps,"비밀·키 KMS 보관, 종속성 SBOM 관리, 정기 취약점 스캔.",도메인-독립,
6,리스크 및 윤리 ,적대적/중독 공격 대비는?,적대적 예제/데이터 중독 공격에 대한 방어·탐지·완화책을 정합니다.,MLE/ML 엔지니어 ; Infosec/보안/IT ; DS/데이터 사이언티스트,"입력 정합성 체커, 무작위 변환 방어, 학습 데이터 변조 탐지.",도메인-독립,
6,리스크 및 윤리 ,규제 승인/IRB/의료기기 인증 타임라인은?,필수 규제 절차·제출물·타임라인을 정의합니다.,법무/컴플라이언스 ; SME/도메인 전문가 ; PM/프로젝트 매니저 ; PO/비즈니스 오너,"파일럿 직후 인증 패키지 제출, 예상 3–6개월 심사.",도메인-의존,의료/제약 등 특정 도메인 이슈
6,리스크 및 윤리 ,데이터·로그 보관/파기 정책은?,데이터/로그 보관 기간과 파기 기준·준거법을 명시합니다.,법무/컴플라이언스 ; 데이터 거버넌스,"로그 3년 보관, 환자 식별 키 분리 보관, 업무 종료 시 파기.",혼합,법정 보관기간·준거법이 도메인/지역별로 다름
6,리스크 및 윤리 ,감사 추적성과 책임/보고 체계는?,의사결정/실험/배포 추적 및 보고 체계를 정합니다.,PM/프로젝트 매니저 ; 데이터 거버넌스 ; Responsible AI/윤리,"모든 추론·결정 로그화, 월간 감사, 의료 책임자는 CMIO 지정.",도메인-독립,
7,PoC / ROI 평가,가치 가설과 기대 개선폭은?,베이스라인 대비 기대 개선폭과 근거를 수치로 제시합니다.,PO/비즈니스 오너 ; DS/데이터 사이언티스트 ; SME/도메인 전문가,"NSM 10–15%p 개선, 판독 대기시간 15분 단축, 재검률 2%p 감소.",도메인-독립,
7,PoC / ROI 평가,비용 항목은?,인건비·클라우드·라벨링·보안·인증 등 비용 항목을 산정합니다.,재무/전략 ; PM/프로젝트 매니저 ; MLE/ML 엔지니어 ; DE/데이터 엔지니어,"인건비 4천만, GPU/클라우드 2천만, 라벨링 1천만, 보안/컴플 5백만.",도메인-독립,
7,PoC / ROI 평가,편익 항목과 화폐화 방법은?,시간/재검/사고 회피 등 이익을 금액으로 환산하고 가정을 명시합니다.,재무/전략 ; PO/비즈니스 오너 ; DS/데이터 사이언티스트,"재검·대기시간 감소에 따른 비용 절감, 의료사고·벌금 회피 기대값.",도메인-독립,
7,PoC / ROI 평가,ROI/NPV/Payback과 가정은?,ROI/NPV/회수기간 계산과 핵심 가정을 표로 정리합니다.,재무/전략 ; PO/비즈니스 오너 ; PM/프로젝트 매니저,"연 순편익 2억, 총비용 7천만 → ROI≈1.86, 할인율 8%로 NPV>0.",도메인-독립,
7,PoC / ROI 평가,민감도·시나리오 분석은?,낙관/기준/비관 시나리오와 주요 변수 민감도를 분석합니다.,재무/전략 ; DS/데이터 사이언티스트,"낙관/기준/비관 케이스로 편익±30% 변동, 임계비용 분석 포함.",도메인-독립,
7,PoC / ROI 평가,실험 추적/재현성과 산출물은?,실험/모델/아티팩트 기록 방식과 제출 산출물을 명시합니다.,DS/데이터 사이언티스트 ; MLE/ML 엔지니어 ; PM/프로젝트 매니저,"MLflow로 메트릭/모델/아티팩트 기록, PoC 리포트·데모 동봉.",도메인-독립,
7,PoC / ROI 평가,성공 게이트와 다음 단계 조건은?,파일럿→MVP 전환 기준(지표·보안·법무)을 정합니다.,PO/비즈니스 오너 ; DS/데이터 사이언티스트 ; MLE/ML 엔지니어 ; PM/프로젝트 매니저,"민감도≥0.90, NSM≥10%p 개선, 가드레일 준수 → 파일럿 확장.",도메인-독립,
7,PoC / ROI 평가,타임라인/리소스/예산 통제 계획은?,일정·인력·예산 계획과 통제 방식을 정의합니다.,PM/프로젝트 매니저 ; PO/비즈니스 오너,"8주 PoC, 주간 스프린트 리뷰, 예산 초과 10% 시 승인 필요.",도메인-독립,
7,PoC / ROI 평가,운영 전이(Transition) 준비는?,"운영팀 핸드오버, 온콜, 모니터링 등 운영 전환 계획을 세웁니다.",PM/프로젝트 매니저 ; MLE/ML 엔지니어 ; SRE/플랫폼/DevOps,"Runbook·온콜 체계 초안, 모니터링 대시보드 프로토타입 제공.",도메인-독립,
8,실행 및 배포 로드맵,마일스톤·승인 게이트·책임자는?,단계별 목표·승인 게이트·책임자를 명확히 합니다.,PM/프로젝트 매니저 ; PO/비즈니스 오너,"파일럿→MVP→확장 단계별 책임자/승인자 지정, 게이트 기준 문서화.",도메인-독립,
8,실행 및 배포 로드맵,아키텍처/IaC/보안 경계는?,배포 구조·IaC·네트워크/보안 경계를 정의합니다.,MLE/ML 엔지니어 ; SRE/플랫폼/DevOps ; Infosec/보안/IT,"온프레 GPU 클러스터, Terraform IaC, 네트워크 분리·WAF 적용.",도메인-독립,
8,실행 및 배포 로드맵,CI/CD·비밀관리 구성은?,릴리즈·테스트 자동화 및 비밀 관리 체계를 설계합니다.,SRE/플랫폼/DevOps ; MLE/ML 엔지니어 ; Infosec/보안/IT,"테스트→스테이징→프로덕션, GitOps, Vault/KMS로 비밀 관리.",도메인-독립,
8,실행 및 배포 로드맵,레지스트리/피처 스토어/실험 추적 통합은?,모델/피처/실험 메타데이터 중앙 관리를 정합니다.,MLE/ML 엔지니어 ; DE/데이터 엔지니어,"MLflow Model Registry, Feature Store 연동, 태깅 표준화.",도메인-독립,
8,실행 및 배포 로드맵,배포 전략과 롤백/버전 고정 정책은?,카나리/블루그린 등 배포 전략과 롤백·버전 고정 정책을 정합니다.,MLE/ML 엔지니어 ; SRE/플랫폼/DevOps,"카나리 10%→50%→100%, 장애 시 이전 버전 즉시 롤백, 모델 버전 고정.",도메인-독립,
8,실행 및 배포 로드맵,모니터링(성능/드리프트/공정성/SLA)은?,운영 성능·드리프트·공정성·SLA 알림/대시보드를 설계합니다.,MLE/ML 엔지니어 ; SRE/플랫폼/DevOps ; DS/데이터 사이언티스트,Evidently 리포트·Prometheus 메트릭·Grafana 대시보드·알림 설정.,도메인-독립,
8,실행 및 배포 로드맵,Incident 대응(온콜/포스트모템)은?,장애 등급·온콜·사후 분석 프로세스를 명시합니다.,SRE/플랫폼/DevOps ; PM/프로젝트 매니저 ; MLE/ML 엔지니어,"온콜 로테이션, Sev 등급 기준 대응, 72시간 내 포스트모템.",도메인-독립,
8,실행 및 배포 로드맵,재학습 트리거/주기/승인 흐름은?,단계별 목표·승인 게이트·책임자를 명확히 합니다.,PM/프로젝트 매니저 ; PO/비즈니스 오너,"월간 재학습 기본, 드리프트 임계 초과 시 즉시 재학습, CAB 승인 필요.",도메인-독립,
8,실행 및 배포 로드맵,문서화/교육/가이드는?,모델/데이터/시스템 카드와 사용자 교육 계획을 포함합니다.,PM/프로젝트 매니저 ; DS/데이터 사이언티스트 ; 데이터 거버넌스,"모델카드/데이터카드/시스템카드, 사용자 교육 세션 월 1회.",도메인-독립,
8,실행 및 배포 로드맵,변경관리/CAB/감사·사후 리뷰 계획은?,변경 승인 위원회(CAB)와 감사·리뷰 일정을 정합니다.,PM/프로젝트 매니저 ; 법무/컴플라이언스,"분기별 CAB 회의, 연 1회 외부 감사, 분기별 사후 리뷰.",도메인-독립,
